,Zipcode,Total,Price_1,Price_2,Price_3,Price_4,Price_0,Rating_10,Rating_15,Rating_20,Rating_25,Rating_30,Rating_35,Rating_40,Rating_45,Rating_50
0,10605,9,2,5,1,0,0,0,0,0,2,1,2,2,2,0
1,11206,54,15,29,3,0,0,0,0,1,2,7,10,16,14,4
2,11364,7,0,7,0,0,0,0,0,1,1,2,2,1,0,0
3,11789,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,15701,6,1,5,0,0,0,0,0,0,0,2,2,1,1,0
5,17313,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,18202,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
7,19044,13,2,8,2,0,0,1,0,0,0,4,2,4,1,1
8,19559,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,22192,19,5,14,0,0,0,0,0,0,1,3,7,7,1,0
10,22193,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
11,23518,5,2,3,0,0,0,0,0,0,0,3,0,1,1,0
12,29206,9,1,8,0,0,0,0,0,0,0,1,2,4,2,0
13,31328,4,1,3,0,0,0,0,0,0,1,0,1,1,1,0
14,40206,27,9,14,4,0,0,0,0,0,0,1,0,20,6,0
15,45238,6,1,5,0,0,0,0,0,1,0,1,3,0,1,0
16,53130,6,0,6,0,0,0,0,0,0,0,0,1,4,0,1
17,54817,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
18,60443,3,0,3,0,0,0,0,0,0,2,0,1,0,0,0
19,60639,9,4,3,0,1,0,0,0,0,1,0,2,1,3,2
20,61761,10,6,4,0,0,0,0,0,0,2,3,1,3,1,0
21,76063,13,5,7,1,0,0,0,0,1,0,2,3,4,2,1
22,77478,25,9,14,2,0,0,0,0,0,1,6,9,7,1,1
23,78739,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
24,79701,4,1,2,1,0,0,0,0,1,1,0,1,1,0,0
25,80903,69,25,37,4,0,0,0,0,0,1,4,13,31,16,4
26,81601,19,4,15,0,0,0,0,0,0,0,1,4,5,9,0
27,84401,35,12,22,0,0,0,0,0,0,0,3,12,13,5,2
28,89706,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
29,90210,10,0,2,1,2,0,0,0,0,0,0,1,3,1,5
30,91206,9,2,5,0,0,0,0,0,0,0,1,1,2,3,2
31,92104,119,40,72,0,0,0,0,0,1,1,6,11,59,36,5
32,92203,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,92843,9,3,4,0,0,0,0,0,1,0,0,1,1,5,1
34,94591,10,4,5,0,0,0,0,0,1,2,2,3,0,2,0
35,95121,13,7,6,0,0,0,0,0,2,1,4,3,2,1,0
36,98118,43,11,29,1,0,0,0,1,0,1,2,8,19,11,1
37,30099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,63006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,73573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,85019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,46913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,58046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,38188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,72917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,48321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,23966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,93902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,18070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,67854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,92836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,66960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,38015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,78141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,41065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,16115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,50140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,97378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,77273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,73001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,42035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,21545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,54247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,3444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,33592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,54928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,49819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,75110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,49616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,8677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,25243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,72332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,91334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,85341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,74421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,3441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,40751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,52341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,64022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,12836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,85551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,81520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,55361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,43265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,68976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,79377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,89047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,99122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,12475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,52044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,80328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,73539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,24313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,73667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,33269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,93020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,29741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,27624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,68325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,6416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,42241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,15456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,71661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,31537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,99732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,81141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,13812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,95493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,12249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,6836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,23889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,58235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,34489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,46989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,97108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,93385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,32211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,28329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,62988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,73844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,56434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,7450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,85334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,95127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,31040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,35554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,24855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,4548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,72434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,98953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,93386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,71459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,72636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,58801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,77376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,80932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,35564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,44410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,47454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,20424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,99738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,42464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,42458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,62993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,80928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,62013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,88421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,58833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,59244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,98222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,16369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,56003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,7073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,50671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,17260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,5842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,27412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,41542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,8037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,87511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,52660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,38485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,76067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,18037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,39562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,24533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,15077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,78338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,75146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,33890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,48371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,49912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,62767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,56039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,52075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,62820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,77592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,39739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,6279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,21770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,78604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,61433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,20686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,72856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,27102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,38181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,8902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,32323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,56666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,57430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,54893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,5161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,50174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,36540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,5821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,20732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,12790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,76564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,6041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,20656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,86052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,25504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,89822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,17549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,52001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,74010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,1101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,32858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,65727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,34230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,58467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,61635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,20640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,36750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,30321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,28383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,57231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,20522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
